,year,activity,fatal,night_day,fy,fn,decade
1752,2003,surfing,N,Day,0,1,2000
1754,2003,surfing,N,Day,0,1,2000
1755,2003,standing,N,Day,0,1,2000
1756,2003,fishing,N,Day,0,1,2000
1757,2003,surfing,N,Day,0,1,2000
1759,2003,fishing,N,Day,0,1,2000
1763,2003,surfing,N,Day,0,1,2000
1764,2003,surfing,N,Day,0,1,2000
1766,2003,standing,N,Day,0,1,2000
1767,2003,swimming,N,Day,0,1,2000
1768,2003,swimming,N,Day,0,1,2000
1769,2003,surfing,N,Day,0,1,2000
1770,2003,surfing,N,Day,0,1,2000
1772,2003,surfing,N,Day,0,1,2000
1773,2003,standing,N,Day,0,1,2000
1774,2003,swimming,N,Day,0,1,2000
1775,2003,surfing,N,Day,0,1,2000
1776,2003,standing,N,Day,0,1,2000
1779,2003,swimming,N,Day,0,1,2000
1780,2003,surfing,N,Day,0,1,2000
1782,2003,surfing,N,Day,0,1,2000
1783,2003,surfing,N,Day,0,1,2000
1784,2003,surfing,N,Day,0,1,2000
1785,2003,surfing,N,Day,0,1,2000
1786,2003,surfing,N,Day,0,1,2000
1787,2003,swimming,N,Day,0,1,2000
1788,2003,surfing,N,Day,0,1,2000
1789,2003,swimming,N,Day,0,1,2000
1791,2003,surfing,N,Night,0,1,2000
1792,2003,surfing,N,Day,0,1,2000
1794,2003,swimming,N,Day,0,1,2000
1795,2003,standing,N,Night,0,1,2000
1796,2003,swimming,N,Day,0,1,2000
1798,2003,swimming,Y,Day,1,0,2000
1801,2003,surfing,N,Day,0,1,2000
1803,2002,swimming,N,Day,0,1,2000
1806,2002,swimming,Y,Night,1,0,2000
1808,2002,swimming,N,Day,0,1,2000
1809,2002,surfing,N,Day,0,1,2000
1810,2002,swimming,N,Day,0,1,2000
1811,2002,swimming,N,Day,0,1,2000
1812,2002,surfing,N,Day,0,1,2000
1813,2002,surfing,N,Day,0,1,2000
1815,2002,swimming,N,Day,0,1,2000
1816,2002,swimming,Y,Day,1,0,2000
1817,2002,surfing,N,Night,0,1,2000
1818,2002,surfing,N,Day,0,1,2000
1819,2002,surfing,N,Day,0,1,2000
1820,2002,surfing,N,Day,0,1,2000
1821,2002,surfing,N,Day,0,1,2000
1822,2002,surfing,N,Night,0,1,2000
1823,2002,fishing,N,Day,0,1,2000
1824,2002,fishing,N,Day,0,1,2000
1825,2002,swimming,N,Day,0,1,2000
1827,2002,surfing,N,Day,0,1,2000
1828,2002,swimming,N,Day,0,1,2000
1829,2002,surfing,N,Night,0,1,2000
1830,2002,surfing,N,Day,0,1,2000
1831,2002,surfing,N,Day,0,1,2000
1832,2002,standing,N,Day,0,1,2000
1833,2002,surfing,N,Day,0,1,2000
1834,2002,swimming,N,Day,0,1,2000
1835,2002,surfing,N,Day,0,1,2000
1836,2002,surfing,N,Day,0,1,2000
1837,2002,standing,N,Day,0,1,2000
1839,2002,standing,N,Day,0,1,2000
1840,2002,surfing,N,Day,0,1,2000
1841,2002,swimming,N,Day,0,1,2000
1842,2002,surfing,N,Day,0,1,2000
1843,2002,fishing,Y,Night,1,0,2000
1844,2002,surfing,N,Day,0,1,2000
1845,2002,standing,N,Day,0,1,2000
1846,2002,surfing,N,Day,0,1,2000
1847,2002,swimming,N,Day,0,1,2000
1851,2002,surfing,N,Day,0,1,2000
1852,2002,surfing,N,Day,0,1,2000
1853,2002,surfing,N,Day,0,1,2000
1854,2002,swimming,N,Day,0,1,2000
1856,2002,surfing,N,Day,0,1,2000
1857,2002,swimming,N,Day,0,1,2000
1858,2002,fishing,N,Day,0,1,2000
1859,2002,surfing,N,Night,0,1,2000
1863,2002,surfing,N,Day,0,1,2000
1865,2002,surfing,Y,Day,1,0,2000
1867,2002,surfing,N,Day,0,1,2000
1868,2002,surfing,N,Day,0,1,2000
1869,2002,swimming,N,Day,0,1,2000
1870,2002,standing,N,Day,0,1,2000
1871,2002,standing,N,Day,0,1,2000
1872,2002,swimming,N,Day,0,1,2000
1873,2002,surfing,N,Day,0,1,2000
1874,2002,standing,N,Day,0,1,2000
1875,2002,swimming,Y,Day,1,0,2000
1876,2002,surfing,N,Day,0,1,2000
1877,2002,swimming,N,Day,0,1,2000
1878,2002,surfing,N,Day,0,1,2000
1881,2002,surfing,N,Day,0,1,2000
1882,2002,other,Y,Day,1,0,2000
1883,2002,surfing,N,Day,0,1,2000
1884,2002,surfing,N,Day,0,1,2000
1886,2002,fishing,N,Night,0,1,2000
1888,2002,surfing,N,Night,0,1,2000
1889,2002,swimming,N,Day,0,1,2000
1890,2001,surfing,N,Day,0,1,2000
1892,2001,surfing,N,Day,0,1,2000
1895,2001,swimming,N,Day,0,1,2000
1896,2001,surfing,N,Day,0,1,2000
1898,2001,surfing,N,Day,0,1,2000
1899,2001,surfing,N,Day,0,1,2000
1900,2001,swimming,Y,Day,1,0,2000
1901,2001,surfing,N,Day,0,1,2000
1902,2001,surfing,N,Day,0,1,2000
1905,2001,standing,N,Day,0,1,2000
1907,2001,swimming,Y,Day,1,0,2000
1908,2001,swimming,N,Day,0,1,2000
1909,2001,standing,N,Day,0,1,2000
1910,2001,swimming,Y,Day,1,0,2000
1911,2001,fishing,N,Day,0,1,2000
1912,2001,standing,N,Day,0,1,2000
1913,2001,standing,N,Day,0,1,2000
1914,2001,surfing,N,Day,0,1,2000
1915,2001,surfing,N,Day,0,1,2000
1916,2001,surfing,N,Day,0,1,2000
1917,2001,surfing,N,Day,0,1,2000
1918,2001,surfing,N,Day,0,1,2000
1919,2001,surfing,N,Day,0,1,2000
1920,2001,surfing,N,Day,0,1,2000
1921,2001,surfing,N,Day,0,1,2000
1922,2001,surfing,N,Day,0,1,2000
1923,2001,surfing,N,Day,0,1,2000
1924,2001,fishing,N,Day,0,1,2000
1927,2001,swimming,N,Day,0,1,2000
1930,2001,other,N,Day,0,1,2000
1933,2001,surfing,N,Day,0,1,2000
1934,2001,surfing,N,Day,0,1,2000
1935,2001,surfing,N,Night,0,1,2000
1936,2001,swimming,N,Night,0,1,2000
1938,2001,swimming,N,Day,0,1,2000
1940,2001,fishing,N,Day,0,1,2000
1942,2001,standing,N,Day,0,1,2000
1945,2001,swimming,N,Day,0,1,2000
1949,2001,surfing,N,Day,0,1,2000
1950,2001,surfing,N,Day,0,1,2000
1952,2001,surfing,N,Day,0,1,2000
1953,2001,surfing,N,Day,0,1,2000
1954,2001,surfing,N,Day,0,1,2000
1955,2001,other,N,Day,0,1,2000
1956,2001,surfing,N,Day,0,1,2000
1957,2001,surfing,N,Day,0,1,2000
1958,2001,surfing,N,Day,0,1,2000
1959,2001,surfing,N,Day,0,1,2000
1960,2001,surfing,N,Day,0,1,2000
1961,2001,surfing,N,Day,0,1,2000
1962,2001,surfing,N,Night,0,1,2000
1964,2001,surfing,N,Day,0,1,2000
1966,2001,surfing,N,Day,0,1,2000
1968,2001,surfing,N,Day,0,1,2000
1969,2001,surfing,N,Day,0,1,2000
1976,2001,surfing,N,Day,0,1,2000
1983,2000,swimming,Y,Day,1,0,1990
1986,2000,fishing,N,Day,0,1,1990
1990,2000,swimming,N,Day,0,1,1990
1992,2000,swimming,N,Night,0,1,1990
1993,2000,swimming,Y,Night,1,0,1990
1994,2000,surfing,N,Day,0,1,1990
1995,2000,fishing,N,Night,0,1,1990
1996,2000,surfing,N,Day,0,1,1990
1997,2000,swimming,N,Day,0,1,1990
1998,2000,swimming,N,Day,0,1,1990
1999,2000,surfing,N,Day,0,1,1990
2000,2000,surfing,N,Day,0,1,1990
2001,2000,surfing,N,Day,0,1,1990
2002,2000,surfing,N,Day,0,1,1990
2003,2000,surfing,N,Day,0,1,1990
2004,2000,surfing,Y,Day,1,0,1990
2005,2000,surfing,Y,Night,1,0,1990
2007,2000,surfing,Y,Day,1,0,1990
2009,2000,surfing,N,Day,0,1,1990
2010,2000,surfing,N,Day,0,1,1990
2011,2000,surfing,N,Day,0,1,1990
2012,2000,swimming,N,Day,0,1,1990
2013,2000,swimming,N,Day,0,1,1990
2015,2000,standing,N,Day,0,1,1990
2016,2000,surfing,N,Day,0,1,1990
2018,2000,swimming,N,Day,0,1,1990
2019,2000,swimming,Y,Day,1,0,1990
2022,2000,surfing,N,Day,0,1,1990
2023,2000,surfing,N,Day,0,1,1990
2024,2000,standing,N,Day,0,1,1990
2025,2000,swimming,,Day,0,0,1990
2034,2000,surfing,N,Night,0,1,1990
2036,2000,standing,N,Day,0,1,1990
2037,2000,swimming,N,Day,0,1,1990
2039,2000,swimming,N,Day,0,1,1990
2040,2000,standing,N,Day,0,1,1990
2041,2000,fishing,N,Day,0,1,1990
2042,2000,standing,N,Day,0,1,1990
2043,2000,standing,N,Day,0,1,1990
2047,2000,standing,N,Night,0,1,1990
2048,2000,other,N,Day,0,1,1990
2049,2000,surfing,N,Day,0,1,1990
2050,2000,swimming,N,Night,0,1,1990
2051,2000,swimming,N,Night,0,1,1990
2052,2000,swimming,N,Day,0,1,1990
2058,2000,standing,N,Day,0,1,1990
2059,2000,surfing,N,Day,0,1,1990
2061,2000,swimming,N,Day,0,1,1990
2062,2000,surfing,N,Day,0,1,1990
2063,2000,surfing,N,Day,0,1,1990
2064,2000,fishing,Y,Day,1,0,1990
2065,2000,surfing,N,Day,0,1,1990
2070,2000,fishing,N,Day,0,1,1990
2071,2000,other,N,Day,0,1,1990
2072,2000,surfing,N,Day,0,1,1990
2084,1999,fishing,N,Day,0,1,1990
2085,1999,surfing,N,Day,0,1,1990
2086,1999,surfing,N,Day,0,1,1990
2087,1999,swimming,N,Day,0,1,1990
2090,1999,fishing,N,Day,0,1,1990
2093,1999,surfing,N,Day,0,1,1990
2094,1999,surfing,N,Day,0,1,1990
2095,1999,surfing,N,Day,0,1,1990
2096,1999,surfing,N,Day,0,1,1990
2097,1999,surfing,N,Day,0,1,1990
2099,1999,surfing,N,Day,0,1,1990
2101,1999,standing,N,Day,0,1,1990
2104,1999,surfing,N,Day,0,1,1990
2105,1999,surfing,N,Day,0,1,1990
2107,1999,fishing,N,Day,0,1,1990
2108,1999,surfing,N,Day,0,1,1990
2109,1999,other,N,Day,0,1,1990
2110,1999,surfing,N,Day,0,1,1990
2111,1999,fishing,N,Day,0,1,1990
2112,1999,surfing,N,Day,0,1,1990
2113,1999,swimming,N,Day,0,1,1990
2114,1999,surfing,N,Day,0,1,1990
2115,1999,surfing,Y,Day,1,0,1990
2117,1999,fishing,N,Day,0,1,1990
2118,1999,surfing,N,Day,0,1,1990
2120,1999,surfing,N,Day,0,1,1990
2121,1999,swimming,N,Day,0,1,1990
2122,1999,standing,N,Day,0,1,1990
2123,1999,surfing,Y,Day,1,0,1990
2124,1999,surfing,N,Day,0,1,1990
2125,1999,swimming,N,Night,0,1,1990
2126,1999,swimming,Y,Day,1,0,1990
2130,1999,surfing,Y,Day,1,0,1990
2131,1999,fishing,N,Day,0,1,1990
2134,1999,swimming,N,Day,0,1,1990
2136,1999,surfing,N,Night,0,1,1990
2137,1999,surfing,N,Day,0,1,1990
2143,1999,fishing,N,Day,0,1,1990
2145,1998,surfing,N,Day,0,1,1990
2146,1998,standing,N,Day,0,1,1990
2147,1998,surfing,N,Day,0,1,1990
2149,1998,surfing,N,Day,0,1,1990
2150,1998,swimming,Y,Day,1,0,1990
2151,1998,surfing,N,Day,0,1,1990
2152,1998,standing,N,Day,0,1,1990
2155,1998,surfing,Y,Day,1,0,1990
2156,1998,swimming,N,Day,0,1,1990
2161,1998,other,N,Day,0,1,1990
2163,1998,surfing,N,Day,0,1,1990
2164,1998,fishing,N,Night,0,1,1990
2167,1998,surfing,N,Day,0,1,1990
2169,1998,surfing,N,Day,0,1,1990
2171,1998,fishing,N,Day,0,1,1990
2175,1998,fishing,N,Day,0,1,1990
2176,1998,surfing,N,Day,0,1,1990
2179,1998,surfing,N,Day,0,1,1990
2181,1998,swimming,Y,Day,1,0,1990
2182,1998,surfing,Y,Day,1,0,1990
2183,1998,surfing,N,Day,0,1,1990
2187,1998,surfing,N,Day,0,1,1990
2188,1998,surfing,N,Day,0,1,1990
2189,1998,swimming,N,Day,0,1,1990
2190,1998,surfing,N,Day,0,1,1990
2191,1998,surfing,N,Day,0,1,1990
2192,1998,other,Y,Day,1,0,1990
2193,1998,surfing,N,Day,0,1,1990
2197,1998,swimming,N,Day,0,1,1990
2198,1998,fishing,N,Day,0,1,1990
2199,1998,surfing,N,Day,0,1,1990
2200,1998,swimming,N,Day,0,1,1990
2201,1998,fishing,,Day,0,0,1990
2203,1998,swimming,Y,Day,1,0,1990
2205,1998,surfing,N,Day,0,1,1990
2206,1998,surfing,N,Day,0,1,1990
2210,1997,fishing,Y,Day,1,0,1990
2214,1997,swimming,N,Day,0,1,1990
2215,1997,swimming,N,Day,0,1,1990
2218,1997,surfing,N,Night,0,1,1990
2219,1997,surfing,N,Day,0,1,1990
2220,1997,surfing,N,Day,0,1,1990
2222,1997,swimming,N,Day,0,1,1990
2224,1997,surfing,N,Day,0,1,1990
2225,1997,surfing,N,Night,0,1,1990
2226,1997,surfing,N,Day,0,1,1990
2227,1997,surfing,N,Day,0,1,1990
2228,1997,surfing,N,Day,0,1,1990
2229,1997,surfing,N,Day,0,1,1990
2232,1997,swimming,N,Day,0,1,1990
2235,1997,surfing,N,Day,0,1,1990
2236,1997,surfing,N,Day,0,1,1990
2239,1997,surfing,N,Day,0,1,1990
2240,1997,surfing,N,Day,0,1,1990
2241,1997,surfing,N,Day,0,1,1990
2242,1997,surfing,Y,Day,1,0,1990
2244,1997,standing,N,Night,0,1,1990
2247,1997,fishing,N,Night,0,1,1990
2248,1997,swimming,N,Day,0,1,1990
2249,1997,surfing,N,Day,0,1,1990
2251,1997,surfing,N,Day,0,1,1990
2252,1997,fishing,N,Day,0,1,1990
2253,1997,surfing,N,Day,0,1,1990
2256,1997,fishing,N,Day,0,1,1990
2259,1997,swimming,N,Day,0,1,1990
2263,1997,swimming,N,Day,0,1,1990
2264,1997,surfing,Y,Day,1,0,1990
2268,1996,surfing,N,Day,0,1,1990
2271,1996,surfing,N,Day,0,1,1990
2272,1996,surfing,N,Day,0,1,1990
2276,1996,surfing,N,Day,0,1,1990
2277,1996,surfing,N,Day,0,1,1990
2278,1996,surfing,N,Night,0,1,1990
2280,1996,swimming,N,Day,0,1,1990
2281,1996,swimming,N,Day,0,1,1990
2282,1996,surfing,N,Day,0,1,1990
2283,1996,standing,N,Day,0,1,1990
2284,1996,surfing,N,Day,0,1,1990
2285,1996,surfing,,Day,0,0,1990
2286,1996,fishing,N,Night,0,1,1990
2287,1996,surfing,N,Day,0,1,1990
2288,1996,swimming,N,Day,0,1,1990
2289,1996,fishing,N,Day,0,1,1990
2290,1996,standing,N,Day,0,1,1990
2292,1996,swimming,N,Day,0,1,1990
2294,1996,swimming,N,Day,0,1,1990
2296,1996,other,N,Day,0,1,1990
2297,1996,standing,N,Day,0,1,1990
2299,1996,surfing,N,Day,0,1,1990
2300,1996,surfing,N,Day,0,1,1990
2302,1996,surfing,N,Day,0,1,1990
2304,1996,surfing,N,Day,0,1,1990
2305,1996,swimming,Y,Day,1,0,1990
2306,1996,surfing,N,Day,0,1,1990
2311,1996,swimming,N,Night,0,1,1990
2313,1996,swimming,N,Night,0,1,1990
2319,1996,swimming,N,Day,0,1,1990
2322,1996,swimming,N,Day,0,1,1990
2324,1996,other,N,Day,0,1,1990
2325,1996,surfing,Y,Day,1,0,1990
2335,1995,swimming,N,Day,0,1,1990
2336,1995,surfing,N,Day,0,1,1990
2337,1995,surfing,N,Day,0,1,1990
2339,1995,surfing,N,Day,0,1,1990
2341,1995,swimming,N,Day,0,1,1990
2344,1995,swimming,Y,Day,1,0,1990
2345,1995,surfing,N,Day,0,1,1990
2350,1995,surfing,N,Day,0,1,1990
2351,1995,surfing,N,Day,0,1,1990
2352,1995,swimming,N,Night,0,1,1990
2353,1995,swimming,N,Day,0,1,1990
2354,1995,surfing,N,Day,0,1,1990
2356,1995,fishing,N,Day,0,1,1990
2357,1995,standing,N,Day,0,1,1990
2359,1995,surfing,N,Day,0,1,1990
2361,1995,surfing,N,Day,0,1,1990
2364,1995,surfing,N,Day,0,1,1990
2365,1995,surfing,N,Day,0,1,1990
2366,1995,surfing,N,Day,0,1,1990
2367,1995,standing,N,Day,0,1,1990
2372,1984,surfing,N,Day,0,1,1980
2376,1995,swimming,N,Day,0,1,1990
2380,1995,swimming,N,Day,0,1,1990
2381,1995,swimming,N,Day,0,1,1990
2382,1995,swimming,N,Day,0,1,1990
2384,1995,swimming,Y,Day,1,0,1990
2390,1995,other,,Day,0,0,1990
2391,1995,other,N,Day,0,1,1990
2393,1995,swimming,Y,Day,1,0,1990
2395,1995,surfing,N,Night,0,1,1990
2396,1995,swimming,Y,Day,1,0,1990
2397,1995,swimming,N,Day,0,1,1990
2399,1995,swimming,Y,Day,1,0,1990
2405,1994,surfing,N,Day,0,1,1990
2406,1994,surfing,N,Day,0,1,1990
2411,1994,swimming,Y,Day,1,0,1990
2414,1994,surfing,N,Day,0,1,1990
2415,1994,surfing,N,Day,0,1,1990
2418,1994,standing,N,Day,0,1,1990
2419,1994,surfing,N,Day,0,1,1990
2421,1994,surfing,N,Day,0,1,1990
2423,1994,swimming,N,Day,0,1,1990
2427,1994,surfing,Y,Day,1,0,1990
2428,1994,surfing,Y,Day,1,0,1990
2429,1994,surfing,N,Day,0,1,1990
2431,1994,surfing,N,Day,0,1,1990
2432,1994,fishing,N,Day,0,1,1990
2433,1994,surfing,N,Day,0,1,1990
2434,1994,surfing,N,Day,0,1,1990
2437,1994,standing,N,Day,0,1,1990
2438,1994,surfing,N,Day,0,1,1990
2441,1994,standing,N,Day,0,1,1990
2442,1994,swimming,N,Day,0,1,1990
2444,1994,swimming,N,Day,0,1,1990
2445,1994,swimming,N,Day,0,1,1990
2448,1994,fishing,N,Day,0,1,1990
2449,1994,surfing,N,Day,0,1,1990
2450,1994,fishing,N,Day,0,1,1990
2451,1994,surfing,N,Day,0,1,1990
2455,1994,surfing,N,Day,0,1,1990
2456,1994,fishing,N,Night,0,1,1990
2458,1994,swimming,N,Day,0,1,1990
2463,1993,swimming,Y,Day,1,0,1990
2464,1993,surfing,N,Day,0,1,1990
2466,1993,surfing,N,Day,0,1,1990
2467,1993,swimming,N,Day,0,1,1990
2468,1993,surfing,N,Day,0,1,1990
2471,1993,fishing,N,Day,0,1,1990
2476,1993,swimming,N,Day,0,1,1990
2477,1993,fishing,N,Day,0,1,1990
2479,1993,surfing,N,Night,0,1,1990
2480,1993,other,N,Day,0,1,1990
2481,1993,swimming,N,Day,0,1,1990
2483,1993,swimming,N,Day,0,1,1990
2486,1993,surfing,N,Day,0,1,1990
2487,1993,swimming,N,Day,0,1,1990
2490,1993,swimming,Y,Night,1,0,1990
2491,1993,swimming,Y,Day,1,0,1990
2492,1993,surfing,N,Night,0,1,1990
2493,1993,swimming,Y,Day,1,0,1990
2494,1993,swimming,Y,Day,1,0,1990
2496,1993,swimming,N,Night,0,1,1990
2501,1993,swimming,N,Day,0,1,1990
2503,1993,surfing,N,Day,0,1,1990
2504,1993,fishing,N,Day,0,1,1990
2506,1993,other,N,Night,0,1,1990
2507,1993,other,N,Day,0,1,1990
2508,1993,fishing,N,Day,0,1,1990
2510,1993,fishing,N,Day,0,1,1990
2512,1993,surfing,N,Day,0,1,1990
2518,1992,surfing,N,Day,0,1,1990
2519,1992,fishing,N,Day,0,1,1990
2520,1992,surfing,N,Night,0,1,1990
2521,1992,surfing,N,Day,0,1,1990
2522,1992,surfing,N,Day,0,1,1990
2524,1992,swimming,N,Day,0,1,1990
2525,1992,surfing,N,Day,0,1,1990
2526,1992,surfing,Y,Day,1,0,1990
2527,1992,swimming,N,Day,0,1,1990
2528,1992,surfing,N,Night,0,1,1990
2530,1992,surfing,N,Day,0,1,1990
2531,1992,surfing,Y,Day,1,0,1990
2532,1992,surfing,N,Day,0,1,1990
2533,1992,surfing,N,Day,0,1,1990
2534,1992,standing,N,Day,0,1,1990
2538,1992,surfing,N,Day,0,1,1990
2539,1992,fishing,,Day,0,0,1990
2540,1992,surfing,N,Day,0,1,1990
2544,1992,standing,N,Day,0,1,1990
2545,1992,surfing,N,Day,0,1,1990
2546,1992,surfing,N,Day,0,1,1990
2548,1992,surfing,Y,Day,1,0,1990
2550,1992,fishing,N,Day,0,1,1990
2553,1992,surfing,Y,Day,1,0,1990
2555,1992,swimming,N,Day,0,1,1990
2556,1992,surfing,N,Day,0,1,1990
2557,1992,surfing,N,Night,0,1,1990
2559,1992,swimming,Y,Day,1,0,1990
2560,1992,fishing,N,Day,0,1,1990
2561,1992,surfing,N,Day,0,1,1990
2562,1992,surfing,Y,Day,1,0,1990
2563,1992,swimming,N,Day,0,1,1990
2564,1992,surfing,,Day,0,0,1990
2565,1992,fishing,N,Day,0,1,1990
2566,1992,surfing,N,Day,0,1,1990
2567,1992,swimming,N,Day,0,1,1990
2568,1992,fishing,N,Day,0,1,1990
2573,1991,swimming,N,Day,0,1,1990
2574,1991,swimming,Y,Day,1,0,1990
2575,1991,swimming,N,Day,0,1,1990
2576,1991,fishing,Y,Day,1,0,1990
2577,1991,fishing,N,Day,0,1,1990
2579,1991,surfing,N,Day,0,1,1990
2580,1991,surfing,N,Night,0,1,1990
2581,1991,fishing,,Day,0,0,1990
2582,1991,swimming,Y,Day,1,0,1990
2583,1991,other,N,Day,0,1,1990
2584,1991,swimming,N,Day,0,1,1990
2585,1991,standing,N,Day,0,1,1990
2587,1991,other,N,Day,0,1,1990
2590,1991,swimming,N,Day,0,1,1990
2591,1991,surfing,N,Day,0,1,1990
2592,1991,surfing,N,Day,0,1,1990
2596,1991,surfing,N,Day,0,1,1990
2597,1991,swimming,N,Day,0,1,1990
2598,1991,swimming,Y,Night,1,0,1990
2599,1991,surfing,N,Day,0,1,1990
2600,1991,swimming,N,Day,0,1,1990
2601,1991,fishing,N,Day,0,1,1990
2602,1991,swimming,N,Day,0,1,1990
2603,1991,surfing,N,Day,0,1,1990
2604,1991,surfing,N,Day,0,1,1990
2606,1991,surfing,N,Day,0,1,1990
2607,1991,fishing,N,Day,0,1,1990
2608,1991,swimming,N,Day,0,1,1990
2613,1990,surfing,N,Day,0,1,1980
2614,1990,surfing,N,Day,0,1,1980
2615,1990,surfing,N,Day,0,1,1980
2616,1990,surfing,N,Day,0,1,1980
2617,1990,swimming,N,Day,0,1,1980
2618,1990,surfing,N,Day,0,1,1980
2619,1990,surfing,N,Day,0,1,1980
2620,1990,surfing,N,Day,0,1,1980
2621,1990,surfing,N,Day,0,1,1980
2622,1990,fishing,N,Day,0,1,1980
2623,1990,fishing,N,Day,0,1,1980
2624,1990,surfing,N,Day,0,1,1980
2626,1990,surfing,N,Day,0,1,1980
2628,1990,fishing,N,Day,0,1,1980
2629,1990,standing,N,Night,0,1,1980
2631,1990,surfing,Y,Day,1,0,1980
2632,1990,fishing,N,Day,0,1,1980
2636,1990,surfing,N,Day,0,1,1980
2637,1990,surfing,N,Day,0,1,1980
2638,1990,surfing,N,Night,0,1,1980
2642,1990,surfing,N,Night,0,1,1980
2644,1990,surfing,N,Day,0,1,1980
2645,1990,fishing,Y,Night,1,0,1980
2653,1989,fishing,Y,Day,1,0,1980
2654,1989,standing,,Day,0,0,1980
2657,1989,surfing,N,Day,0,1,1980
2658,1989,swimming,,Day,0,0,1980
2659,1989,surfing,N,Night,0,1,1980
2660,1989,swimming,,Day,0,0,1980
2662,1989,swimming,N,Day,0,1,1980
2663,1989,fishing,N,Day,0,1,1980
2665,1989,swimming,N,Day,0,1,1980
2668,1989,fishing,N,Day,0,1,1980
2670,1989,surfing,N,Day,0,1,1980
2671,1989,surfing,N,Night,0,1,1980
2675,1989,surfing,N,Day,0,1,1980
2676,1989,surfing,Y,Day,1,0,1980
2677,1989,surfing,N,Day,0,1,1980
2681,1989,surfing,N,Day,0,1,1980
2682,1989,surfing,N,Day,0,1,1980
2683,1989,swimming,N,Day,0,1,1980
2686,1989,surfing,N,Day,0,1,1980
2687,1989,other,N,Day,0,1,1980
2690,1989,surfing,Y,Day,1,0,1980
2693,1989,surfing,N,Day,0,1,1980
2694,1989,surfing,Y,Day,1,0,1980
2695,1989,surfing,,Day,0,0,1980
2696,1989,surfing,Y,Day,1,0,1980
2698,1989,other,N,Day,0,1,1980
2700,1989,surfing,N,Day,0,1,1980
2704,1988,other,Y,Day,1,0,1980
2705,1988,other,Y,Night,1,0,1980
2707,1988,surfing,N,Day,0,1,1980
2711,1988,surfing,N,Day,0,1,1980
2712,1988,surfing,N,Day,0,1,1980
2714,1988,surfing,N,Day,0,1,1980
2715,1988,standing,N,Day,0,1,1980
2716,1988,swimming,Y,Day,1,0,1980
2720,1988,surfing,N,Day,0,1,1980
2724,1988,swimming,N,Day,0,1,1980
2725,1988,surfing,N,Day,0,1,1980
2728,1988,fishing,N,Day,0,1,1980
2730,1988,standing,N,Day,0,1,1980
2731,1988,swimming,N,Day,0,1,1980
2732,1988,surfing,N,Day,0,1,1980
2734,1988,surfing,N,Day,0,1,1980
2735,1988,surfing,N,Day,0,1,1980
2736,1988,other,Y,Day,1,0,1980
2738,1988,swimming,N,Day,0,1,1980
2745,1988,surfing,N,Day,0,1,1980
2746,1988,surfing,N,Day,0,1,1980
2748,1988,surfing,N,Day,0,1,1980
2749,1988,surfing,N,Night,0,1,1980
2752,1988,surfing,,Night,0,0,1980
2755,1988,other,N,Day,0,1,1980
2759,1987,surfing,N,Day,0,1,1980
2763,1987,surfing,N,Day,0,1,1980
2764,1987,surfing,,Day,0,0,1980
2765,1987,fishing,N,Day,0,1,1980
2768,1987,surfing,N,Day,0,1,1980
2769,1987,standing,N,Day,0,1,1980
2770,1987,surfing,N,Night,0,1,1980
2771,1987,surfing,N,Day,0,1,1980
2772,1987,surfing,N,Day,0,1,1980
2773,1987,standing,N,Day,0,1,1980
2775,1987,swimming,N,Day,0,1,1980
2777,1987,fishing,N,Day,0,1,1980
2782,1987,swimming,N,Day,0,1,1980
2784,1987,swimming,Y,Day,1,0,1980
2789,1987,fishing,N,Day,0,1,1980
2790,1987,swimming,N,Night,0,1,1980
2793,1986,fishing,N,Day,0,1,1980
2794,1986,surfing,Y,Day,1,0,1980
2795,1986,surfing,N,Day,0,1,1980
2797,1986,fishing,N,Day,0,1,1980
2800,1986,surfing,N,Day,0,1,1980
2801,1986,surfing,N,Day,0,1,1980
2804,1986,swimming,N,Day,0,1,1980
2805,1986,other,N,Day,0,1,1980
2812,1986,fishing,,Day,0,0,1980
2817,1986,fishing,N,Day,0,1,1980
2822,1986,surfing,N,Day,0,1,1980
2823,1986,other,N,Day,0,1,1980
2825,1986,surfing,N,Day,0,1,1980
2826,1986,surfing,N,Day,0,1,1980
2827,1986,swimming,N,Day,0,1,1980
2828,1986,fishing,N,Day,0,1,1980
2829,1986,surfing,N,Night,0,1,1980
2830,1986,surfing,N,Day,0,1,1980
2831,1986,surfing,N,Day,0,1,1980
2834,1985,fishing,N,Day,0,1,1980
2837,1985,surfing,N,Day,0,1,1980
2838,1985,swimming,N,Day,0,1,1980
2844,1985,swimming,N,Day,0,1,1980
2845,1985,swimming,,Day,0,0,1980
2847,1985,standing,,Day,0,0,1980
2848,1985,swimming,,Day,0,0,1980
2849,1985,standing,N,Day,0,1,1980
2850,1985,surfing,N,Day,0,1,1980
2853,1985,swimming,N,Day,0,1,1980
2857,1985,swimming,Y,Day,1,0,1980
2858,1985,surfing,N,Day,0,1,1980
2859,1985,surfing,N,Day,0,1,1980
2860,1985,swimming,N,Day,0,1,1980
2862,1985,surfing,N,Day,0,1,1980
2864,1985,fishing,N,Day,0,1,1980
2866,1985,fishing,N,Day,0,1,1980
2870,1984,other,Y,Day,1,0,1980
2873,1984,swimming,,Day,0,0,1980
2874,1984,surfing,N,Day,0,1,1980
